Statistiche Fantacalcio Stagione 2019 20,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
2241,D,Dc,Lucioni,Lecce,36,5.65,5.71,3,0,0,0,0,0,0,8,1,1
2288,D,Dc,N'koulou,Torino,31,5.77,5.79,1,0,0,0,0,0,0,3,1,0
2318,D,Ds;E,Rogerio,Sassuolo,15,6,6.07,1,0,0,0,0,0,1,6,0,0
2633,D,Dc,Kjaer,Milan,20,6,5.9,0,0,0,0,0,0,0,4,0,0
2784,D,Dc,Colley,Sampdoria,31,5.76,5.63,0,0,0,0,0,0,1,10,0,0
4307,D,Dc,Romero,Genoa,30,5.87,5.75,1,0,0,0,0,0,1,13,1,0
4323,D,Ds;E,Zeegelaar,Udinese,12,5.75,5.79,0,0,0,0,0,0,2,3,0,0
4412,D,Dc,Rodrigo Becao,Udinese,28,5.88,5.84,1,0,0,0,0,0,0,8,0,0
4429,D,Dc,Chancellor,Brescia,26,5.73,5.94,3,0,0,0,0,0,0,3,0,1
4470,D,Ds;E,Calderoni,Lecce,24,5.71,6.02,3,0,0,0,0,0,2,7,0,0
4899,D,Dd;Dc;E,Singo,Torino,3,6.33,7.33,1,0,0,0,0,0,0,0,0,0
15,D,Dd;Dc,Masiello,Genoa,22,5.8,5.73,0,0,0,0,0,0,1,5,0,0
84,D,Dc,Marrone,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
106,D,Dd;Ds;E,Mattiello,Cagliari,15,6,5.97,0,0,0,0,0,0,1,3,0,0
142,D,Ds;E,Mario Rui,Napoli,23,5.85,5.74,0,0,0,0,0,0,2,9,0,0
224,D,Dc,De Maio,Udinese,18,5.89,5.86,0,0,0,0,0,0,0,1,0,0
327,D,Dd;Dc;E,Patric,Lazio,21,5.83,5.74,0,0,0,0,0,0,0,2,1,0
392,D,Dc,Koulibaly,Napoli,25,5.88,5.62,0,0,0,0,0,0,0,7,1,1
790,D,Ds;Dc,Samir,Udinese,19,5.68,5.76,1,0,0,0,0,0,0,3,0,0
1869,D,Dd;Ds;Dc,Pisacane,Cagliari,29,5.74,5.71,1,0,0,0,0,0,0,6,1,0
2180,D,Dd;E,Karsdorp,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,D,Dc,Bonifazi,SPAL,17,5.56,5.85,2,0,0,0,0,0,0,2,0,0
2208,D,Ds;E,Jaroszynski,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,D,Dc,Marlon,Sassuolo,23,5.93,5.78,0,0,0,0,0,0,0,7,0,0
2745,D,Dd;Dc,Calabresi,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
2758,D,Dc,Gunter,Verona,31,5.81,5.69,0,0,0,0,0,0,0,7,0,0
2870,D,Dc,Troost-Ekong,Udinese,29,5.78,5.69,0,0,0,0,0,0,0,5,0,0
4920,D,Dc,Papetti,Brescia,11,5.41,5.45,1,0,0,0,0,0,0,5,0,0
50,D,Dd;Ds;E,Mbaye,Bologna,19,5.63,5.61,0,0,0,0,0,0,2,5,0,0
254,D,Ds;E,Dimarco,Verona,8,6,5.94,0,0,0,0,0,0,2,1,0,1
